"p_id","p_url","p_name","p_status","p_brand","p_system","p_addtime","jd_price","p_weight","p_network","p_color","p_CPU","p_screenSize","p_place","p_special","p_tags","p_comment"
1036239314,"http://item.jd.com/1036239314.html","锋达通C800 CDMA电信老人手机 白","1","","其它","2013-11-25 21:45:01",158,95,"电信2G（CDMA）","白色","","3.0英寸及以下","中国大陆","老人手机","字体大(11)
铃声大(10)
外观漂亮(9)
支持国产机(9)
待机时间长(9)
性价比高(9)
通话质量好(4)
功能齐全(3)
后盖很漂亮(3)
分辨率高(3)","全部评价(152)
好评(130)
中评(14)
差评(8)
有晒单(6)"
1031959798,"http://item.jd.com/1031959798.html","金圣达 A15-B GSM 学生手机 双...","1","","其它","2013-11-28 12:14:13",186,180,"移动2G/联通2G（GSM）","粉色","","3.0英寸及以下","","翻盖","支持国产机(2)
性价比高(1)
音质好(1)
待机时间长(1)
电池耐用(1)
反应快(1)
后盖很漂亮(1)","全部评价(46)
好评(45)
中评(1)
差评(0)
有晒单(5)"
1059308,"http://item.jd.com/1059308.html","信得乐N83金刚","1","信得乐（Simtelep）","其它","2014-01-28 14:59:37",189,310,"移动2G/联通2G（GSM）","白色","","3.0英寸及以下","中国大陆","长待机","铃声大(5)
支持国产机(4)
反应快(2)
信号稳定(2)
系统流畅(1)
通话质量好(1)
音质好(1)
待机时间长(1)
性价比高(1)
字体大(1)","全部评价(9)
好评(9)
中评(0)
差评(0)
有晒单(1)"
1058559986,"http://item.jd.com/1058559986.html","贝尔丰288A GSM老人手机 红","1","","其它","2013-11-30 05:59:19",118,500,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","","老人手机","铃声大(24)
字体大(19)
电池耐用(16)
待机时间长(15)
通话质量好(12)
性价比高(11)
支持国产机(9)
音质好(9)
外观漂亮(9)
屏幕大(8)","全部评价(69)
好评(67)
中评(2)
差评(0)
有晒单(2)"
1056233649,"http://item.jd.com/1056233649.html","乐目LMV9 三防手机 WCDMA/GS...","1","","Android","2013-12-03 09:41:03",1999,335,"联通3G（WCDMA）","黑色","","4.0-3.1英寸","中国大陆","防水","电池耐用(4)
外观漂亮(3)
铃声大(3)
系统流畅(3)
反应快(2)
待机时间长(2)
照相不错(2)
分辨率高(2)
支持国产机(2)
功能齐全(1)","全部评价(33)
好评(28)
中评(3)
差评(2)
有晒单(3)"
1032724470,"http://item.jd.com/1032724470.html","同心 F189 GSM双卡双待 翻盖手机...","1","","其它","2013-11-14 17:54:52",169,300,"移动2G/联通2G（GSM）","红色","","3.0英寸及以下","中国大陆","翻盖","外观漂亮(17)
支持国产机(8)
铃声大(6)
性价比高(6)
电池耐用(4)
后盖很漂亮(3)
待机时间长(3)
通话质量好(3)
功能齐全(2)
音质好(2)","全部评价(192)
好评(170)
中评(17)
差评(5)
有晒单(5)"
1022745701,"http://item.jd.com/1022745701.html","嘉源 E518 GSM 双卡双待 老人手...","1","","其它","2013-11-05 09:41:50",199,250,"移动2G/联通2G（GSM）","金色","","3.0英寸及以下","中国大陆","长待机","待机时间长(35)
支持国产机(35)
电池耐用(29)
铃声大(26)
外观漂亮(21)
性价比高(17)
通话质量好(17)
字体大(16)
比较一般(11)
信号稳定(10)","全部评价(146)
好评(131)
中评(12)
差评(3)
有晒单(10)"
972425,"http://item.jd.com/972425.html","金立ELIFE E5","1","金立（Gionee）","","2013-09-17 17:16:46",1999,400,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","黄色","四核CPU","4.9-4.1英寸","中国大陆","美颜自拍","支持国产机(1)
软件也不错(1)
反应快(1)","全部评价(2)
好评(2)
中评(0)
差评(0)
有晒单(0)"
1036654814,"http://item.jd.com/1036654814.html","优思 U558 电信3G手机 CDMA/...","1","","Android","2013-11-01 11:01:22",1100,150,"双模（电信＋移动/联通2G）","其它","","5.5-5.0英寸","中国大陆","直板键盘","反应快(6)
支持国产机(4)
性价比高(4)
功能齐全(4)
比较一般(4)
屏幕大(3)
外观漂亮(2)
音质好(2)
后盖很漂亮(2)
字体大(1)","全部评价(28)
好评(25)
中评(2)
差评(1)
有晒单(5)"
1038403131,"http://item.jd.com/1038403131.html","优乐酷 V5 GMS双卡双待 功能手机 ...","1","","其它","2013-11-01 09:13:33",239,200,"移动2G/联通2G（GSM）","红色","","3.0英寸及以下","中国大陆","翻盖","外观漂亮(7)
后盖很漂亮(3)
铃声大(2)
支持国产机(2)
功能齐全(2)
信号稳定(2)
电池耐用(2)
待机时间长(2)
系统流畅(1)
分辨率高(1)","全部评价(34)
好评(30)
中评(1)
差评(3)
有晒单(2)"
1020637688,"http://item.jd.com/1020637688.html","乐丰1106 CDMA电信老人机 白","1","","其它","2014-01-27 12:54:10",145,82,"电信2G（CDMA）","黑色","","3.0英寸及以下","中国大陆","老人手机","字体大(92)
铃声大(87)
支持国产机(64)
性价比高(56)
信号稳定(50)
屏幕大(49)
外观漂亮(45)
待机时间长(42)
比较一般(39)
通话质量好(35)","全部评价(1112)
好评(933)
中评(116)
差评(63)
有晒单(18)"
1056233508,"http://item.jd.com/1056233508.html","乐目LMV9 三防手机 WCDMA/GS...","1","","Android","2013-12-03 09:41:03",1999,335,"联通3G（WCDMA）","黑色","","4.0-3.1英寸","中国大陆","防水","电池耐用(1)
性价比高(1)
信号稳定(1)
功能齐全(1)
反应快(1)","全部评价(33)
好评(28)
中评(3)
差评(2)
有晒单(3)"
1063673404,"http://item.jd.com/1063673404.html","百合 C11 天翼电信版 CDMA 老人...","1","","其它","2013-12-10 15:15:20",188,225,"电信2G（CDMA）","红色","","3.0英寸及以下","中国大陆","","信号稳定(8)
待机时间长(6)
字体大(6)
支持国产机(5)
电池耐用(5)
铃声大(5)
通话质量好(3)
外观漂亮(3)
屏幕大(2)
后盖很漂亮(2)","全部评价(229)
好评(220)
中评(5)
差评(4)
有晒单(11)"
1033904431,"http://item.jd.com/1033904431.html","传奇 A818 GSM女性手机 双卡双待...","1","","其它","2013-12-02 19:07:09",199,1000,"移动2G/联通2G（GSM）","白色","","3.0英寸及以下","中国大陆","翻盖","外观漂亮(6)
通话质量好(5)
后盖很漂亮(4)
支持国产机(4)
功能齐全(3)
铃声大(3)
电池耐用(3)
信号稳定(3)
系统流畅(3)
音质好(2)","全部评价(158)
好评(145)
中评(7)
差评(6)
有晒单(6)"
1071073348,"http://item.jd.com/1071073348.html","锋达通C002 CDMA电信儿童手机 白","1","","其它","",199,92,"电信2G（CDMA）","粉色","","3.0英寸及以下","","儿童手机","外观漂亮(3)
比较一般(2)
信号稳定(2)
待机时间长(1)
性价比高(1)
屏幕大(1)
通话质量好(1)
后盖很漂亮(1)
支持国产机(1)","全部评价(29)
好评(24)
中评(3)
差评(2)
有晒单(0)"
1037156337,"http://item.jd.com/1037156337.html","科铭 F669A GSM小迷你手机 学生...","1","","其它","2013-11-02 07:22:40",89,300,"双卡","黑色","","3.0英寸及以下","","儿童手机","支持国产机(22)
性价比高(15)
信号稳定(14)
外观漂亮(13)
功能齐全(12)
铃声大(11)
反应快(11)
比较一般(10)
通话质量好(9)
待机时间长(8)","全部评价(567)
好评(463)
中评(62)
差评(42)
有晒单(23)"
